1,30,111
2,71,19
3,16,62
4,26,125
5,23,138
6,45,42
7,53,41
8,62,3
9,62,91
10,86,9
11,29,100
12,55,100
13,62,139
14,28,33
15,67,8
16,76,74
17,17,14
18,81,56
19,10,80
20,65,127
21,28,37
22,53,142
23,77,142
24,68,148
25,70,109
26,67,107
27,86,40
28,82,137
29,52,106
30,15,142
31,6,35
32,79,102
33,51,4
34,34,27
35,55,41
36,64,108
37,55,55
38,55,56
39,36,19
40,72,33
41,60,84
42,42,38
43,8,112
44,67,80
45,45,39
46,75,148
47,83,138
48,71,134
49,26,13
50,18,96
51,23,11
52,39,132
53,71,146
54,65,105
55,86,53
56,65,15
57,16,82
58,75,29
59,14,63
60,26,2
61,80,145
62,60,127
63,37,30
64,81,137
65,5,98
66,55,57
67,31,39
68,60,15
69,67,48
70,27,42
71,11,114
72,47,93
73,83,7
74,29,133
75,39,44
76,30,140
77,57,140
78,30,117
79,49,25
80,46,139
81,8,73
82,82,54
83,46,1
84,51,148
85,64,99
86,15,91
87,81,22
88,41,64
89,48,86
90,56,39
91,47,84
92,24,80
